1,cluster48.txt 
2,cluster36.txt cluster19.txt cluster1.txt cluster27.txt cluster9.txt 
3,cluster42.txt 
4,cluster41.txt cluster4.txt cluster31.txt 
5,cluster82.txt 
6,cluster17.txt cluster94.txt cluster94.txt~ 
7,cluster33.txt cluster3.txt cluster5.txt cluster32.txt cluster26.txt 
8,cluster109.txt 
9,cluster18.txt cluster55.txt cluster7.txt 
10,cluster69.txt cluster25.txt cluster28.txt cluster6.txt 
11,cluster97.txt cluster35.txt 
12,cluster11.txt cluster12.txt cluster16.txt cluster10.txt 
13,cluster76.txt 
14,cluster8.txt cluster14.txt 
15,cluster106.txt 
16,cluster2.txt cluster43.txt 
17,cluster66.txt 
